               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  19,            0.078873,            0.036276,            0.012281,             0.50974,                 0.5,             0.60678,             0.27045,            0.068678,            0.026434,           0.0072813,            0.063433,           0.0024328,           0.0024328
                  20,            0.076844,            0.045448,            0.010788,             0.51857,                 0.5,             0.62526,             0.26062,            0.066297,            0.026045,           0.0063629,            0.061476,           0.0024764,           0.0024764
                  21,            0.075211,            0.037023,            0.011454,             0.58257,             0.58114,             0.70386,             0.28802,            0.065987,            0.025046,           0.0056159,            0.059512,           0.0025121,           0.0025121
                  22,            0.070291,            0.041088,            0.010067,             0.66748,             0.56584,             0.73802,             0.32382,            0.066295,            0.023933,           0.0048395,             0.05754,           0.0025398,           0.0025398
                  23,            0.071603,            0.036859,           0.0085987,             0.68985,             0.74163,             0.75795,             0.31987,            0.061842,            0.023397,           0.0041964,             0.05556,           0.0025596,           0.0025596
                  24,            0.065791,            0.036745,           0.0067477,             0.60276,             0.66837,             0.68944,             0.28244,            0.064287,            0.021992,           0.0036766,            0.053572,           0.0025715,           0.0025715
                  25,            0.067951,            0.033402,           0.0073684,             0.67198,             0.58333,             0.64915,             0.28008,            0.069212,            0.021323,           0.0032411,            0.051576,           0.0025755,           0.0025755
                  26,            0.072351,            0.030448,           0.0074501,             0.46247,                0.75,              0.6229,             0.31843,            0.061806,            0.021062,            0.002993,            0.049572,           0.0025716,           0.0025716
                  27,            0.067167,             0.03633,           0.0071678,             0.46247,                0.75,              0.6229,             0.31843,            0.061806,            0.021062,            0.002993,             0.04756,           0.0025597,           0.0025597
                  28,            0.063828,            0.023325,           0.0054658,             0.81378,             0.60043,             0.79519,             0.39379,            0.065521,            0.020042,           0.0027682,             0.04554,           0.0025399,           0.0025399
                  29,            0.072193,            0.027217,           0.0089779,             0.73784,             0.66667,             0.75175,             0.34333,            0.066813,            0.019444,           0.0025489,            0.043512,           0.0025122,           0.0025122
                  30,            0.066298,            0.028071,           0.0057505,             0.73784,             0.66667,             0.75175,             0.34333,            0.066813,            0.019444,           0.0025489,            0.041477,           0.0024766,           0.0024766
                  31,            0.063862,            0.027577,            0.005561,               0.703,             0.66667,             0.78421,              0.3757,            0.065049,             0.01905,           0.0024309,            0.039433,           0.0024331,           0.0024331
                  32,            0.064859,            0.032548,           0.0064655,             0.81709,             0.66667,             0.83327,              0.4369,            0.062806,            0.018881,           0.0023087,            0.037382,           0.0023816,           0.0023816
                  33,            0.060884,            0.031827,           0.0063009,             0.81709,             0.66667,             0.83327,              0.4369,            0.062806,            0.018881,           0.0023087,            0.035322,           0.0023222,           0.0023222
                  34,            0.063601,            0.036805,           0.0059302,             0.84896,              0.6609,             0.79429,             0.40211,            0.056597,            0.018856,           0.0022675,            0.033255,           0.0022549,           0.0022549
                  35,            0.056906,            0.027786,           0.0040934,             0.63255,             0.62651,             0.66557,             0.39987,            0.058442,            0.018651,            0.002152,             0.03118,           0.0021797,           0.0021797
                  36,              0.0572,            0.027361,           0.0035135,             0.63255,             0.62651,             0.66557,             0.39987,            0.058442,            0.018651,            0.002152,            0.029097,           0.0020966,           0.0020966
                  37,            0.059984,            0.026592,           0.0046111,             0.88246,             0.56761,              0.8042,             0.39289,             0.06048,            0.018284,           0.0020762,            0.027006,           0.0020055,           0.0020055
                  38,            0.064684,            0.030328,           0.0042762,             0.56816,             0.83333,             0.73228,             0.34406,            0.053484,             0.01817,           0.0019962,            0.024907,           0.0019065,           0.0019065
                  39,            0.055523,              0.0259,           0.0042446,             0.56816,             0.83333,             0.73228,             0.34406,            0.053484,             0.01817,           0.0019962,              0.0228,           0.0017996,           0.0017996
                  40,            0.054499,            0.030501,           0.0040166,             0.46868,             0.83333,             0.66544,              0.3324,            0.059721,            0.017815,           0.0019265,            0.020685,           0.0016848,           0.0016848
                  41,            0.060711,            0.028849,           0.0044186,             0.59883,             0.83333,             0.76115,             0.40838,            0.052864,            0.017534,           0.0018814,            0.018562,           0.0015621,           0.0015621
                  42,            0.054537,            0.032933,           0.0047447,             0.59883,             0.83333,             0.76115,             0.40838,            0.052864,            0.017534,           0.0018814,            0.016431,           0.0014314,           0.0014314
                  43,            0.053824,            0.026979,           0.0056815,             0.55925,             0.83333,              0.7224,             0.31331,            0.055583,            0.017279,           0.0018807,            0.014293,           0.0012928,           0.0012928
                  44,            0.050238,            0.023741,           0.0038253,             0.55925,             0.83333,              0.7224,             0.31331,            0.055583,            0.017279,           0.0018807,            0.012146,           0.0011463,           0.0011463
                  45,            0.052983,            0.026628,           0.0040714,             0.67791,             0.83333,             0.77059,              0.4896,            0.049177,            0.017105,           0.0018742,           0.0099919,           0.0009919,           0.0009919
                  46,            0.052719,            0.025523,           0.0044128,             0.67791,             0.83333,             0.77059,              0.4896,            0.049177,            0.017105,           0.0018742,           0.0078296,          0.00082956,          0.00082956
                  47,             0.04745,            0.025078,           0.0028473,             0.68552,             0.83333,             0.80327,             0.47012,            0.050786,            0.016765,           0.0018811,           0.0056593,           0.0006593,           0.0006593
                  48,             0.04805,             0.02569,           0.0033687,             0.68552,             0.83333,             0.80327,             0.47012,            0.050786,            0.016765,           0.0018811,           0.0034811,          0.00048112,          0.00048112
                  49,            0.050807,            0.029542,           0.0030904,             0.72877,             0.83333,             0.81137,             0.51422,             0.04833,            0.016665,           0.0019337,            0.001295,          0.00029502,          0.00029502
                   0,             0.12168,            0.036007,            0.027231,                   0,                   0,                   0,                   0,             0.12296,            0.030302,            0.028359,              0.0991,              0.0001,              0.0001
                   1,             0.11789,            0.032497,            0.029547,          0.00073746,            0.083333,          0.00044463,          0.00026678,             0.12135,             0.02998,            0.027996,            0.097294,          0.00029406,          0.00029406
                   2,             0.11929,              0.0359,            0.026897,          0.00074516,            0.083333,          0.00049383,           0.0002963,             0.11809,            0.029798,            0.027297,             0.09548,           0.0004802,           0.0004802
                   3,             0.11626,            0.034166,             0.02618,           0.0016877,             0.16667,           0.0020841,          0.00067735,             0.11366,            0.029706,            0.026395,            0.093658,          0.00065842,          0.00065842
                   4,             0.11122,             0.03353,            0.025763,           0.0025623,             0.33333,           0.0034598,          0.00090249,             0.10782,            0.029717,             0.02504,            0.091829,          0.00082872,          0.00082872
                   5,              0.1057,            0.034964,            0.025379,           0.0034101,             0.41667,           0.0031957,           0.0012236,             0.10111,            0.029983,            0.023515,            0.089991,           0.0009911,           0.0009911
                   6,              0.1076,            0.039938,            0.025319,           0.0046427,             0.58333,            0.006168,           0.0013954,             0.09548,             0.03008,            0.021781,            0.088146,           0.0011456,           0.0011456
                   7,             0.10231,            0.035436,             0.02341,            0.004727,             0.58333,           0.0070788,           0.0020152,            0.091748,            0.029852,            0.019967,            0.086292,           0.0012921,           0.0012921
                   8,            0.096559,             0.03389,            0.019982,           0.0053544,             0.66667,            0.011959,           0.0026745,            0.089384,            0.029811,            0.018809,            0.084431,           0.0014307,           0.0014307
                   9,             0.09355,            0.031268,             0.01866,           0.0050231,                0.75,             0.01347,           0.0031592,            0.086125,            0.030014,            0.017848,            0.082561,           0.0015614,           0.0015614
                  10,            0.094896,            0.039533,            0.020639,           0.0050123,                0.75,            0.025596,           0.0057525,            0.084607,            0.029793,            0.016715,            0.080684,           0.0016842,           0.0016842
                  11,            0.092708,            0.038818,            0.019816,           0.0055439,             0.83333,            0.038516,            0.011894,            0.082811,            0.029393,            0.015511,            0.078799,           0.0017991,           0.0017991
                  12,            0.092109,            0.038722,            0.018958,           0.0055386,             0.83333,            0.068387,            0.024029,             0.08112,            0.029042,            0.014311,            0.076906,            0.001906,            0.001906
                  13,            0.088462,              0.0376,             0.01782,           0.0055199,             0.83333,              0.1517,             0.05572,            0.079546,            0.028687,            0.013475,            0.075005,            0.002005,            0.002005
                  14,            0.090146,            0.047721,            0.017015,           0.0055185,             0.83333,             0.31829,             0.11321,            0.077377,            0.028529,            0.012429,            0.073096,           0.0020961,           0.0020961
                  15,            0.086346,            0.038478,            0.015532,             0.14774,             0.66667,             0.45278,             0.16763,            0.076641,            0.027863,            0.011445,            0.071179,           0.0021793,           0.0021793
                  16,            0.081553,            0.038463,             0.01501,             0.24649,             0.66667,             0.54162,             0.18926,            0.073719,            0.027848,            0.010462,            0.069255,           0.0022546,           0.0022546
                  17,             0.07146,            0.037378,            0.011869,             0.32291,             0.58333,             0.56342,             0.21712,            0.071161,            0.027634,           0.0094134,            0.067322,           0.0023219,           0.0023219
                  18,             0.07276,            0.029896,            0.010755,             0.42185,             0.49085,             0.59718,             0.24653,            0.069942,            0.027111,           0.0081786,            0.065381,           0.0023813,           0.0023813
                  19,            0.078873,            0.036276,            0.012281,             0.50974,                 0.5,             0.60678,             0.27045,            0.068678,            0.026434,           0.0072813,            0.063433,           0.0024328,           0.0024328
                  20,            0.076844,            0.045448,            0.010788,             0.51857,                 0.5,             0.62526,             0.26062,            0.066297,            0.026045,           0.0063629,            0.061476,           0.0024764,           0.0024764
                  21,            0.075211,            0.037023,            0.011454,             0.58257,             0.58114,             0.70386,             0.28802,            0.065987,            0.025046,           0.0056159,            0.059512,           0.0025121,           0.0025121
                  22,            0.070291,            0.041088,            0.010067,             0.66748,             0.56584,             0.73802,             0.32382,            0.066295,            0.023933,           0.0048395,             0.05754,           0.0025398,           0.0025398
                  23,            0.071603,            0.036859,           0.0085987,             0.68985,             0.74163,             0.75795,             0.31987,            0.061842,            0.023397,           0.0041964,             0.05556,           0.0025596,           0.0025596
                  24,            0.065791,            0.036745,           0.0067477,             0.60276,             0.66837,             0.68944,             0.28244,            0.064287,            0.021992,           0.0036766,            0.053572,           0.0025715,           0.0025715
                  25,            0.067951,            0.033402,           0.0073684,             0.67198,             0.58333,             0.64915,             0.28008,            0.069212,            0.021323,           0.0032411,            0.051576,           0.0025755,           0.0025755
                  26,            0.072351,            0.030448,           0.0074501,             0.46247,                0.75,              0.6229,             0.31843,            0.061806,            0.021062,            0.002993,            0.049572,           0.0025716,           0.0025716
                  27,            0.067167,             0.03633,           0.0071678,             0.46247,                0.75,              0.6229,             0.31843,            0.061806,            0.021062,            0.002993,             0.04756,           0.0025597,           0.0025597
                  28,            0.063828,            0.023325,           0.0054658,             0.81378,             0.60043,             0.79519,             0.39379,            0.065521,            0.020042,           0.0027682,             0.04554,           0.0025399,           0.0025399
                  29,            0.072193,            0.027217,           0.0089779,             0.73784,             0.66667,             0.75175,             0.34333,            0.066813,            0.019444,           0.0025489,            0.043512,           0.0025122,           0.0025122
                  30,            0.066298,            0.028071,           0.0057505,             0.73784,             0.66667,             0.75175,             0.34333,            0.066813,            0.019444,           0.0025489,            0.041477,           0.0024766,           0.0024766
                  31,            0.063862,            0.027577,            0.005561,               0.703,             0.66667,             0.78421,              0.3757,            0.065049,             0.01905,           0.0024309,            0.039433,           0.0024331,           0.0024331
                  32,            0.064859,            0.032548,           0.0064655,             0.81709,             0.66667,             0.83327,              0.4369,            0.062806,            0.018881,           0.0023087,            0.037382,           0.0023816,           0.0023816
                  33,            0.060884,            0.031827,           0.0063009,             0.81709,             0.66667,             0.83327,              0.4369,            0.062806,            0.018881,           0.0023087,            0.035322,           0.0023222,           0.0023222
                  34,            0.063601,            0.036805,           0.0059302,             0.84896,              0.6609,             0.79429,             0.40211,            0.056597,            0.018856,           0.0022675,            0.033255,           0.0022549,           0.0022549
                  35,            0.056906,            0.027786,           0.0040934,             0.63255,             0.62651,             0.66557,             0.39987,            0.058442,            0.018651,            0.002152,             0.03118,           0.0021797,           0.0021797
                  36,              0.0572,            0.027361,           0.0035135,             0.63255,             0.62651,             0.66557,             0.39987,            0.058442,            0.018651,            0.002152,            0.029097,           0.0020966,           0.0020966
                  37,            0.059984,            0.026592,           0.0046111,             0.88246,             0.56761,              0.8042,             0.39289,             0.06048,            0.018284,           0.0020762,            0.027006,           0.0020055,           0.0020055
                  38,            0.064684,            0.030328,           0.0042762,             0.56816,             0.83333,             0.73228,             0.34406,            0.053484,             0.01817,           0.0019962,            0.024907,           0.0019065,           0.0019065
                  39,            0.055523,              0.0259,           0.0042446,             0.56816,             0.83333,             0.73228,             0.34406,            0.053484,             0.01817,           0.0019962,              0.0228,           0.0017996,           0.0017996
                  40,            0.054499,            0.030501,           0.0040166,             0.46868,             0.83333,             0.66544,              0.3324,            0.059721,            0.017815,           0.0019265,            0.020685,           0.0016848,           0.0016848
                  41,            0.060711,            0.028849,           0.0044186,             0.59883,             0.83333,             0.76115,             0.40838,            0.052864,            0.017534,           0.0018814,            0.018562,           0.0015621,           0.0015621
                  42,            0.054537,            0.032933,           0.0047447,             0.59883,             0.83333,             0.76115,             0.40838,            0.052864,            0.017534,           0.0018814,            0.016431,           0.0014314,           0.0014314
                  43,            0.053824,            0.026979,           0.0056815,             0.55925,             0.83333,              0.7224,             0.31331,            0.055583,            0.017279,           0.0018807,            0.014293,           0.0012928,           0.0012928
                  44,            0.050238,            0.023741,           0.0038253,             0.55925,             0.83333,              0.7224,             0.31331,            0.055583,            0.017279,           0.0018807,            0.012146,           0.0011463,           0.0011463
                  45,            0.052983,            0.026628,           0.0040714,             0.67791,             0.83333,             0.77059,              0.4896,            0.049177,            0.017105,           0.0018742,           0.0099919,           0.0009919,           0.0009919
                  46,            0.052719,            0.025523,           0.0044128,             0.67791,             0.83333,             0.77059,              0.4896,            0.049177,            0.017105,           0.0018742,           0.0078296,          0.00082956,          0.00082956
                  47,             0.04745,            0.025078,           0.0028473,             0.68552,             0.83333,             0.80327,             0.47012,            0.050786,            0.016765,           0.0018811,           0.0056593,           0.0006593,           0.0006593
                  48,             0.04805,             0.02569,           0.0033687,             0.68552,             0.83333,             0.80327,             0.47012,            0.050786,            0.016765,           0.0018811,           0.0034811,          0.00048112,          0.00048112
                  49,            0.050807,            0.029542,           0.0030904,             0.72877,             0.83333,             0.81137,             0.51422,             0.04833,            0.016665,           0.0019337,            0.001295,          0.00029502,          0.00029502
                   0,             0.12168,            0.036007,            0.027231,                   0,                   0,                   0,                   0,             0.12296,            0.030302,            0.028359,              0.0991,              0.0001,              0.0001
                   1,             0.11792,            0.032491,            0.029558,          0.00073746,            0.083333,          0.00044441,          0.00026665,             0.12156,            0.029959,            0.028041,            0.097241,           0.0002406,           0.0002406
                   2,              0.1196,            0.035833,            0.026964,          0.00074738,            0.083333,          0.00048488,          0.00029093,             0.11931,            0.029678,            0.027548,            0.095302,            0.000302,            0.000302
                   3,             0.11774,             0.03392,            0.026436,          0.00075075,            0.083333,          0.00055742,          0.00033445,             0.11688,            0.029412,            0.027083,            0.093284,           0.0002842,           0.0002842
                   4,             0.11492,            0.032958,            0.026446,           0.0016847,             0.16667,           0.0011836,          0.00054693,             0.11495,            0.029111,            0.026688,            0.091187,           0.0001872,           0.0001872
                   0,             0.12168,            0.036007,            0.027231,                   0,                   0,                   0,                   0,             0.12296,            0.030302,            0.028359,              0.0991,              0.0001,              0.0001
                   1,             0.11789,            0.032498,            0.029547,          0.00073746,            0.083333,          0.00044463,          0.00026678,             0.12133,            0.029981,            0.027992,            0.097299,          0.00029851,          0.00029851
                   2,             0.11926,            0.035906,            0.026891,          0.00074516,            0.083333,          0.00049383,           0.0002963,             0.11799,            0.029808,            0.027275,            0.095495,          0.00049505,          0.00049505
                   3,             0.11613,            0.034187,            0.026159,           0.0016884,             0.16667,           0.0021009,          0.00068045,             0.11339,             0.02973,            0.026335,             0.09369,           0.0006896,           0.0006896
                   4,              0.1109,            0.033577,             0.02571,           0.0025612,             0.33333,           0.0035805,           0.0010312,              0.1072,            0.029769,            0.024903,            0.091882,          0.00088218,          0.00088218
                   5,             0.10524,            0.035044,            0.025252,           0.0034134,             0.41667,           0.0032585,          0.00089006,             0.10032,            0.030046,            0.023265,            0.090073,           0.0010728,           0.0010728
                   6,             0.10724,            0.040041,            0.025098,           0.0053622,             0.66667,           0.0079412,           0.0018967,            0.094478,            0.030133,            0.021403,            0.088261,           0.0012614,           0.0012614
                   7,              0.1017,            0.035504,            0.023015,           0.0047339,             0.58333,           0.0080623,           0.0021795,            0.090488,            0.029872,             0.01942,            0.086448,            0.001448,            0.001448
                   8,            0.095496,            0.033969,            0.019477,           0.0053535,             0.66667,            0.012081,           0.0030874,            0.087869,            0.029836,            0.018153,            0.084633,           0.0016327,           0.0016327
                   9,            0.092271,            0.031358,            0.018081,           0.0050175,                0.75,            0.026623,           0.0054995,             0.08463,            0.030044,            0.017108,            0.082815,           0.0018154,           0.0018154
                  10,            0.093782,            0.039619,            0.020047,           0.0055568,             0.83333,            0.032653,           0.0096614,            0.083006,            0.029757,             0.01585,            0.080996,            0.001996,            0.001996
                  11,             0.09139,            0.038856,            0.019111,           0.0055439,             0.83333,            0.058121,            0.019755,             0.08093,            0.029264,            0.014511,            0.079175,           0.0021748,           0.0021748
                  12,            0.090457,            0.038844,             0.01818,            0.005529,             0.83333,             0.15236,            0.052163,            0.079084,             0.02886,            0.013279,            0.077352,           0.0023515,           0.0023515
                  13,            0.086383,            0.037631,            0.016827,           0.0049153,                0.75,             0.30468,             0.11156,            0.077464,            0.028433,            0.012333,            0.075526,           0.0025263,           0.0025263
                  14,            0.087242,            0.048416,            0.016013,            0.095493,             0.66667,             0.48532,             0.17633,            0.074584,            0.028403,            0.011163,            0.073699,            0.002699,            0.002699
                  15,            0.083144,            0.038595,             0.01428,             0.31464,             0.66667,             0.53213,             0.19238,            0.073798,            0.027479,           0.0099403,             0.07187,           0.0028698,           0.0028698
                  16,             0.07894,            0.038039,            0.013686,             0.43397,                 0.5,             0.56265,             0.23949,            0.070033,            0.027446,           0.0086939,            0.070039,           0.0030386,           0.0030386
                  17,            0.067545,            0.036658,            0.010303,             0.56442,             0.51186,             0.62908,             0.25016,            0.070217,            0.026429,           0.0072804,            0.068205,           0.0032055,           0.0032055
                  18,            0.069198,            0.028904,           0.0091558,             0.38164,             0.41667,             0.63539,             0.25905,            0.066704,            0.025841,           0.0060507,             0.06637,           0.0033703,           0.0033703
                  19,            0.076103,            0.035192,            0.010153,             0.67618,             0.58333,             0.66419,             0.31461,            0.068519,            0.024597,           0.0051115,            0.064533,           0.0035332,           0.0035332
                  20,            0.074599,            0.043292,           0.0090752,             0.56642,             0.79552,              0.6494,             0.26171,            0.069008,            0.023479,           0.0043345,            0.062694,           0.0036941,           0.0036941
                  21,            0.076664,            0.033471,           0.0096696,             0.58766,             0.74651,             0.63113,             0.23538,            0.076835,            0.021317,           0.0035888,            0.060853,            0.003853,            0.003853
                  22,            0.074731,              0.0359,           0.0083992,             0.58802,             0.89088,             0.71412,              0.3009,            0.073024,            0.020824,           0.0030477,             0.05901,           0.0040099,           0.0040099
                  23,            0.072046,            0.032992,           0.0067773,             0.69456,             0.58333,             0.65466,             0.25821,            0.067889,            0.020811,           0.0026925,            0.057165,           0.0041649,           0.0041649
                  24,            0.070558,            0.031784,            0.005084,             0.66283,             0.58333,             0.62673,             0.34318,            0.076423,            0.019647,           0.0022282,            0.055318,           0.0043179,           0.0043179
                  25,            0.075723,            0.028897,           0.0054549,             0.99829,                 0.5,             0.52354,             0.24967,            0.079003,            0.019166,           0.0020793,            0.053469,           0.0044689,           0.0044689
                  26,            0.077121,            0.026626,           0.0057828,             0.62209,             0.58333,             0.63237,             0.29406,             0.07176,            0.019325,           0.0019661,            0.051618,           0.0046179,           0.0046179
                  27,            0.073191,             0.03141,           0.0057557,             0.62209,             0.58333,             0.63237,             0.29406,             0.07176,            0.019325,           0.0019661,            0.049765,           0.0047649,           0.0047649
                  28,            0.077461,            0.019935,           0.0043684,             0.24643,             0.58333,              0.2932,            0.069604,            0.091222,            0.018494,           0.0019218,             0.04791,             0.00491,             0.00491
                  29,            0.086173,            0.022652,           0.0077781,             0.42449,             0.58333,             0.63304,              0.1662,            0.075485,            0.018467,           0.0020969,            0.046053,           0.0050531,           0.0050531
                  30,             0.07177,             0.02523,           0.0050667,             0.42449,             0.58333,             0.63304,              0.1662,            0.075485,            0.018467,           0.0020969,            0.044194,           0.0051941,           0.0051941
                  31,            0.077315,            0.023742,            0.004548,             0.90882,             0.37745,             0.51338,             0.22857,            0.090046,            0.017306,           0.0020643,            0.042333,           0.0053333,           0.0053333
                  32,             0.08397,            0.026979,           0.0054976,             0.24715,                0.75,             0.46868,             0.12314,            0.074382,            0.017745,           0.0023276,             0.04047,           0.0054704,           0.0054704
                  33,            0.076456,            0.027282,           0.0052981,             0.24715,                0.75,             0.46868,             0.12314,            0.074382,            0.017745,           0.0023276,            0.038606,           0.0056056,           0.0056056
                  34,            0.077102,            0.031865,           0.0052104,              0.4799,                0.75,             0.63302,              0.3113,            0.072463,            0.016913,           0.0030186,            0.036739,           0.0057387,           0.0057387
                  35,            0.073345,            0.024189,           0.0042384,             0.53572,             0.57622,             0.50471,             0.19284,            0.081642,            0.015187,           0.0025317,             0.03487,           0.0058699,           0.0058699
                  36,            0.075876,            0.023488,           0.0035764,             0.53572,             0.57622,             0.50471,             0.19284,            0.081642,            0.015187,           0.0025317,            0.032999,           0.0059991,           0.0059991
                  37,            0.075355,            0.022869,           0.0044812,             0.56485,             0.70976,             0.53793,             0.23795,            0.076999,            0.014673,           0.0020152,            0.031126,           0.0061264,           0.0061264
                  38,            0.076116,            0.026397,            0.003907,               0.233,             0.58333,             0.34385,             0.15253,             0.08511,            0.013986,           0.0018791,            0.029252,           0.0062516,           0.0062516
                  39,            0.081399,            0.020788,           0.0035495,               0.233,             0.58333,             0.34385,             0.15253,             0.08511,            0.013986,           0.0018791,            0.027375,           0.0063749,           0.0063749
                  40,            0.072475,            0.026013,            0.003411,             0.50269,                0.75,             0.54999,             0.24881,            0.069562,            0.014585,           0.0017835,            0.025496,           0.0064962,           0.0064962
                  41,            0.067512,            0.025493,            0.003867,             0.24796,             0.80847,             0.49833,             0.22865,            0.079625,            0.014495,           0.0017051,            0.023616,           0.0066155,           0.0066155
                  42,            0.070101,             0.02874,           0.0040179,             0.24796,             0.80847,             0.49833,             0.22865,            0.079625,            0.014495,           0.0017051,            0.021733,           0.0067329,           0.0067329
                  43,            0.067131,            0.023919,           0.0055326,             0.48211,             0.82727,             0.62004,             0.24174,            0.070596,            0.014343,            0.001732,            0.019848,           0.0068482,           0.0068482
                  44,            0.066219,            0.020344,           0.0032592,             0.48211,             0.82727,             0.62004,             0.24174,            0.070596,            0.014343,            0.001732,            0.017962,           0.0069616,           0.0069616
                  45,            0.068608,            0.022805,           0.0035698,             0.45949,             0.83333,             0.57792,             0.23542,            0.078891,            0.013715,           0.0019114,            0.016073,            0.007073,            0.007073
                  46,            0.075042,            0.020465,           0.0032951,             0.45949,             0.83333,             0.57792,             0.23542,            0.078891,            0.013715,           0.0019114,            0.014182,           0.0071824,           0.0071824
                  47,            0.072089,            0.021243,           0.0028153,             0.66957,             0.64956,             0.67576,             0.31782,            0.069641,             0.01413,           0.0020484,             0.01229,           0.0072898,           0.0072898
                  48,            0.065589,            0.022119,           0.0030617,             0.66957,             0.64956,             0.67576,             0.31782,            0.069641,             0.01413,           0.0020484,            0.010395,           0.0073953,           0.0073953
                  49,            0.067661,            0.025814,            0.003133,             0.65706,              0.7423,             0.70135,             0.29114,            0.072013,            0.013659,           0.0023088,           0.0084988,           0.0074988,           0.0074988
                  50,            0.076509,            0.019664,           0.0036562,             0.65706,              0.7423,             0.70135,             0.29114,            0.072013,            0.013659,           0.0023088,            0.007525,            0.007525,            0.007525
                  51,             0.07951,            0.030612,            0.003894,             0.37703,             0.66667,             0.51193,             0.24457,            0.071688,            0.012956,           0.0027102,            0.007525,            0.007525,            0.007525
                  52,             0.06426,            0.022753,           0.0031481,             0.37703,             0.66667,             0.51193,             0.24457,            0.071688,            0.012956,           0.0027102,           0.0074755,           0.0074755,           0.0074755
                  53,            0.066593,            0.022065,           0.0044135,             0.58053,                0.75,             0.76088,             0.26214,            0.060364,            0.013918,           0.0027953,            0.007426,            0.007426,            0.007426
                  54,            0.069271,            0.023276,           0.0044783,             0.58053,                0.75,             0.76088,             0.26214,            0.060364,            0.013918,           0.0027953,           0.0073765,           0.0073765,           0.0073765
                  55,            0.061655,            0.017549,           0.0031113,             0.92364,             0.77717,             0.89062,             0.38371,            0.068669,            0.013564,           0.0026677,            0.007327,            0.007327,            0.007327
